Mat	Red
627.6630859	732
459.7176514	507.8235168
507.216217	652.4324341
529.8693848	591.836731
528.9304199	583.4782715
492.8531189	580.833313
456.915802	543.6842041
486.2172546	602.0689697
417.6220398	518.644043
429.036377	415.4545593
411.6904907	530.4761963
446.6000061	535.833313
428.7210388	547.3684082
438.8193054	502.4561462
496.4654541	625.8181763
427.4833374	511.1111145
436.3596497	512.2807007
423.7041626	516.666687
464.2166748	496
455.3479919	552
424.4176331	508.2352905
418.1481628	528.888916
409.7771912	486.3157959
428.407135	522
414.9450073	515
477.2842102	580
445.5430603	554.7982178
458.6322632	562.9031982
439.3166809	530.3703613
425.703186	506.9841309
425.2142944	533.1428833
446.1679077	552.6749268
489.5166626	595
445.7045593	592.7272949
385.1749878	439
427.3244324	494.6666565
441.4333191	508
435.302063	506.1855774
440.6605225	493.6842041
443.387085	501.2903137
399.3422241	473.777771
435.348938	499.1489258
507.8500061	543.333313
425.6589661	482.5641174
415.5437622	488.0416565
421.6843262	513.7254639
427.2270813	515.416687
464.980011	600
427.5961609	485.384613
436.6033325	462.6666565
590.9692383	625.1282349
459.8146973	534.9763184
435.1811829	484.1584167
445.2103577	500.6896667
441.7835999	518.3606567
421.4034424	476.5517273
420.8781128	476.875
440.3270569	480.7058716
449.4327698	497.9831848
445.9719849	538.4000244
448.2374878	480
445.2970886	491.6504822
485.2157898	600
522.8618774	578.0952148
450.5899963	501.3333435
454.4553833	497.8461609
438	542.7272949
455.0714417	494.2857056
426.2036133	494.9397583
432.4285583	490
452.3762512	523.5
446.8650818	508.8888855
440.6400146	529.333313
445.3787842	496.3636475
500.1272583	460
431.7000122	505.8823547
433.3999939	470.8108215
433.1523743	508.5714417
427.842865	470.4761963
473.7029724	527.1641846
465.4086304	505.8620605
435.1028442	541.7142944
462.5785828	447.1428528
447.8081055	481.8919067
449.6062622	489.1666565
501.1392822	530
440.1044006	508.5294189
470.4272766	521.8181763
465.7837524	486.6666565
424.2875061	422.5
450.3092346	447.6923218
438.2047119	501.4117737
438.993866	501.2244873
438.045105	467.2549133
510.3205872	587.0588379
431.0846252	467.2527466
487.9257507	538.0808105
539.3238525	574.6268921
495.6659851	566.4000244
432.1943054	479.240509
434.2428589	481.4285583
422.9857178	511.4285583
448.4073181	488.7804871
458.0968018	491.9468079
431.4307556	473.0769348
467.3250122	461.25
445.7214355	452.8571472
450.5777893	486.6666565
419.1370239	507.4074097
429.4894104	523.7647095
467.7833252	533.0769043
437.8311768	489.350647
445.2492371	499.6923218
421.282135	429.2857056
445.1666565	518.333313
477.7970581	478.8235168
419.4363708	502.7272644
442.9344788	555.8620605
528.4633179	649.333313
394.4700012	408
432.8504028	463.0894165
461.9390869	495.4023132
525.7127075	584
423.9100037	478
435.9580383	508.39505
549.585022	565
455.6736145	515.277771
439.4942932	491.4285583
451.3352966	479.1176453
432.6849976	462.5
448.0100098	519.5999756
397.3272705	514.5454712
443.6382751	482.4691467
446.5941162	487.0588379
425.8727417	453.1818237
524.5585327	608.2926636
514.2833252	528.333313
416.9405518	487.0270386
550.9320068	529.5999756
454.125	538.333313
437.22052	446.6666565
468.3769226	589.7435913
484.0530701	624.7572632
561.2705688	676.4705811
602.3928833	730
523.0444336	595.555542
550.1705933	637.6470337
461.4025879	514.3448486
416.7523804	513.333313
473.8155212	561.8446655
426.286377	476.3636475
474.8333435	657.666687
462.654541	542.4242554
438.1391296	488.6956482
477.0899963	588
676.4411621	820
422.3181763	527.2727051
520.1946411	576.0305176
447.3348389	542.6966553
524.8897705	552.3076782
506.2428589	549.7479248
503.8215332	581.944458
530.9896851	664.1379395
389.4325562	509.3023376
428.491394	528.1065674
413.2615051	500.6211243
433.3176575	449.4117737
421.3018494	471.4814758
426.4349976	500
493.5814819	667.444458
409.0406189	483.75
429.2481384	511.4814758
422.2292786	479.512207
459.4621277	551.2120972
532.0611572	680.625
447.9785767	641.4285889
432.2610779	511.0810852
424.7738342	494.3925171
431.5828552	531.4285889
418.2725525	497.2549133
449.4268799	562.3134155
424.3785706	490
417.9691162	489.4382019
437.6000061	522.9268188
446.8333435	524.3859863
439.9431458	527.5789185
440.5128479	542.666687
432.3937378	520
480.2999878	590.2857056
487.2471924	571.8400269
440.3210754	488.4353638
414.4275818	478.620697
437.9833374	480
403.1642761	467.1428528
459.8954468	485.4545593
444.1932983	584.4351196
484.1655273	576.5516968
432.9784851	485.8227844
424.1640015	487.6000061
551.5499878	626.666687
440.3835754	487.9451904
532.2127075	641.4545288
493.0470581	565.4901733
428.2631836	497.6568909
431.6687622	497.9166565
423.2352295	502.3487549
533.1333618	711.2820435
440.475769	530.1321411
585.5281372	666.875
411.3999939	425.116272
456.7562561	493.75
458.2967834	527.0968018
453.8200073	554
597.960022	666.666687
408.2250061	520.5882568
424.0070496	484.4871826
422.1377258	493.0817566
418.0010071	488.3673401
454.190918	549.0908813
427.2490234	478.431366
453.6677551	537.4193726
407.4068298	499.4871826
430.7564087	531.2820435
409.8247681	485.6880798
415.0394592	498.1578979
432.1445007	595.1196289
408.8609314	500.4597778
415.6770935	506.6666565
408.0978088	488.115387
412.9016724	491.6666565
411.944458	461.8518372
408.8468628	540.625
378.6727295	489.0909119
396.3125	502.5
415.8250122	537.9729614
417.8430481	488.2911377
515.2225952	630.3225708
519.3344727	614.4827881
465.3743591	583.5897217
490.1181946	596.3636475
506.8277893	613.333313
503.1560059	640.7999878
679.0107422	761.3223267
462.7166748	508.0952454
550.2000122	656.972229
528.4700317	630.8755493
427.5161438	580.6451416
445.6017761	544.6428833
541.1151123	665.0646362
460.2416687	588.333313
443.1987	557.2987061
616.0474243	661.9259033
520.3054199	621.0810547
512.0200195	630.4000244
426.9179993	549.5238037
519.5512085	642.1951294
517.572876	630.6542358
583.5625	610
444.4575195	565.1327515
513.2887573	614.0845337
403.690918	447.2727356
411.5467529	515.1948242
429.1007385	525.1470337
421.8049011	524.8950806
418.6811218	516.4779663
416.0523682	489.7619019
410.2851868	552.5925903
411.3800049	505.5652161
419.6655273	500.6896667
423.8059998	530.4000244
416.9277954	505.2485352
419.6160583	498.7591248
420.4781799	527.2727051
408.2824707	511.5639954
469.9693604	609.25
424.0454407	516.7928467
413.6648865	520.6106567
464	556.9230957
593.8754883	601.0203857
451.7484436	564.7422485
453.8592529	602.9629517
404.8099976	487.384613
431.1960144	521.8400269
423.3004761	514.5098267
417.0417175	511.4960632
419.6257629	507.7333374
443.7927856	545.9036255
412.9599915	553.333313
420.6787109	503.4042664
442.4103394	548.3294067
414.0283203	543.7767944
415.0777283	497.6165771
410.6082764	509.2000122
418.7603149	496.9841309
418.8645325	517.241394
411.9025879	509.4827576
423.633667	531.836731
417.3617554	504.3778687
490.6833191	550
704.135376	673.0973511
475.8482361	576
490.7680969	604.8936157
463.7053528	520.7142944
444.1801758	602.4528198
686.8666382	781.111084
505.5528259	613.2075195
467.7230835	592.3076782
478.5720825	537.2092896
401.907135	458.5714417
443.7475891	554.1781006
416.5085754	483
410.2868042	468.3018799
400.2305603	456.1111145
413.7423706	508.3050842
418.9603271	539.173584
412.8130493	526.0869751
434.1054993	539.5604248
437.3848267	583.0357056
392.7428589	560
423.7621765	502.4324341
415.886261	551.5686035
433.7314758	534.6067505
437.6140747	540.625
424.7351685	523.6757813
423.5786743	535.4098511
650.9953003	722.8125
434.6087036	504.6376953
419.4400024	454.555542
404.2951355	490.6097412
415.8389893	505.31073
403.9098816	467.1867981
412.5541992	488.85495
482.2424927	623.75
494.0155029	614.0845337
526.182373	610
452.8999939	590
414.3718262	491.8309937
458.6264038	543.7963257
436.5482788	542.8175659
397.5499878	498.9583435
417.2875061	510.0675659
550.4249878	678.333313
424.6763611	519.4505615
405.3171692	520.5940552
455.7233582	594.3925171
402.6830139	531.3207397
430.2543945	530.0800171
478.2913513	599.0123291
406.5929565	480.4225464
397.7613525	475
423.6040955	508.7066345
428.6227417	530.1748047
419.3545532	517.8355103
422.3240051	549.5999756
422.4790955	487.8431396
401.4710388	506.8421021
598.0454712	597.9797974
452.7814026	614.4185791
436.8575745	566.0606079
542.2346191	596.9230957
396.3743286	482.4324341
407.994751	469.4736938
490.5930176	606.5116577
439.0372009	580.9302368
485.2312622	540
723.6695557	778.2608643
463.9934998	557.1428833
442.8605957	595.7575684
595.6659546	722.2695313
408.7571411	487.8095093
463.0517883	571.9819946
549.1971436	655.0943604
421.4428711	475.2380981
426.4796448	511.1111145
404.9705811	488.6470642
416.5888977	549.8148193
452.0952454	558.0952148
392.3304443	498.2608643
459.7322998	616.2461548
472.8439941	604.7999878
467.9294128	597.6470337
428.4508057	534.9206543
432.6340332	504.6808472
451.2542725	520
442.6062622	534.166687
444.6482544	536.7543945
431.3066406	492.4170532
